number,value,datetime_start,datetime_complete,duration,state,params_batch_size,params_data_augmentation_param,params_dataset,params_dropout_rate,params_learning_rate,params_lr-threshold,params_lr_factor,params_lr_patience,params_model,params_optimizer
0,,2026-07-21 08:32:15.511128,2026-07-21 08:32:15.638336,0 days 00:00:00.127208,PRUNED,32,15,fused2-agedb-imdb-utkface-wiki4848,0.1254034680597907,0.003767296838942295,8.264829698647473e-05,0.45913594107383227,20,efficientnet,adamw
1,,2026-07-21 08:32:15.662098,2026-07-21 08:32:15.766309,0 days 00:00:00.104211,PRUNED,8,0,fused2-agedb-imdb-utkface-wiki4848,0.32764922396736273,0.0013183613927368455,0.0005780587915656944,0.4952612506380566,10,mobilenet,adamw
2,,2026-07-21 08:32:15.783231,2026-07-21 08:32:17.033817,0 days 00:00:01.250586,PRUNED,8,13,fused2-agedb-imdb-utkface-wiki4848,0.26047113378821674,2.153065498548231e-05,0.00016524312550821163,0.38899679799283926,13,vgg19,adam
3,,2026-07-21 08:32:17.085543,2026-07-21 08:32:18.315719,0 days 00:00:01.230176,PRUNED,48,5,fused2-agedb-imdb-utkface-wiki4848,0.17777835141718132,7.293169429909745e-05,0.00037955326402120684,0.24950735573344698,10,vgg16,adamw
4,,2026-07-21 08:32:18.339507,2026-07-21 08:32:19.547348,0 days 00:00:01.207841,PRUNED,40,1,fused2-agedb-imdb-utkface-wiki48224,0.40471636530754873,0.0017806615888428302,3.7562913624212136e-05,0.35387146274089665,17,vgg16,adamw
5,,2026-07-21 08:32:19.596682,2026-07-21 08:32:19.753558,0 days 00:00:00.156876,PRUNED,24,12,fused2-agedb-imdb-utkface-wiki48224,0.44061918022433955,0.0007711217963352154,4.0643456477230605e-05,0.4771667514908021,12,resnet18,sgd
6,,2026-07-21 08:32:19.772593,2026-07-21 08:32:19.913923,0 days 00:00:00.141330,PRUNED,16,15,fused2-agedb-imdb-utkface-wiki48224,0.25872607296929,0.00403608250198611,0.000558611513061791,0.26984710560858344,11,efficientnet,adamw
7,,2026-07-21 08:32:19.932423,2026-07-21 08:32:20.033052,0 days 00:00:00.100629,PRUNED,32,15,fused2-agedb-imdb-utkface-wiki48224,0.4242615596367222,0.000272659299297686,9.6471980288924e-05,0.21933324700019702,11,efficientnet,adam
8,,2026-07-21 08:32:20.051618,2026-07-21 08:32:20.155080,0 days 00:00:00.103462,PRUNED,24,3,fused2-agedb-imdb-utkface-wiki4848,0.2011545602411399,0.001245345198934847,0.0009951163974897112,0.450294561576253,6,mobilenet,sgd
9,,2026-07-21 08:32:20.176685,2026-07-21 08:32:20.288323,0 days 00:00:00.111638,PRUNED,24,18,fused2-agedb-imdb-utkface-wiki48224,0.2644230999345809,6.824079743744686e-05,2.0789475987884667e-05,0.4000723509735099,5,efficientnet,adam
