number,value,datetime_start,datetime_complete,duration,state,params_batch_size,params_data_augmentation_param,params_dataset,params_dropout_rate,params_learning_rate,params_lr-threshold,params_lr_factor,params_lr_patience,params_model,params_optimizer
0,,2026-07-15 11:29:02.765219,2026-07-15 11:31:11.665890,0 days 00:02:08.900671,PRUNED,16,10,wiki224,0.4288815211060454,0.0010475334844512706,0.00020093196162372962,0.21199873485679493,7,efficientnet,sgd
1,13.098155583568554,2026-07-15 11:31:11.700175,2026-07-15 12:32:44.982413,0 days 01:01:33.282238,COMPLETE,8,9,wiki224,0.22711733838485104,0.00024629115607065823,2.1924944584535917e-05,0.34950212698464855,10,resnet18,adam
2,15.260718897769326,2026-07-15 12:32:45.014395,2026-07-15 12:51:51.868659,0 days 00:19:06.854264,COMPLETE,24,17,wiki224,0.18283404555897978,5.205203440898065e-05,0.0002237634350664324,0.25485567111454677,16,mobilenet,sgd
3,14.44169618616152,2026-07-15 12:51:51.906839,2026-07-15 13:40:48.390696,0 days 00:48:56.483857,COMPLETE,16,5,wiki224,0.21332343474710458,1.3315369612550475e-05,0.00011311281598786656,0.2757631189963542,11,efficientnet,adamw
4,14.756756611724398,2026-07-15 13:40:48.413211,2026-07-15 14:06:09.810097,0 days 00:25:21.396886,COMPLETE,48,18,wiki224,0.4213884830766229,0.0024961604352631357,0.00038224673813330186,0.35973589336340506,8,vgg16,adamw
5,15.799487909479955,2026-07-15 14:06:09.837267,2026-07-15 14:30:29.518621,0 days 00:24:19.681354,COMPLETE,16,11,wiki48,0.10505166863140421,1.47474644634099e-05,0.0009697310244478823,0.43985064677841856,18,vgg19,adamw
6,15.427192275203875,2026-07-15 14:30:29.548652,2026-07-15 14:59:01.600235,0 days 00:28:32.051583,COMPLETE,48,20,wiki224,0.3104876777043766,0.0024753174280812626,0.00039738904038774913,0.2920596648851391,13,vgg19,adamw
7,12.949515715577549,2026-07-15 14:59:01.627818,2026-07-15 15:18:36.831440,0 days 00:19:35.203622,COMPLETE,24,14,wiki224,0.2240610781737934,4.0524573971415264e-05,0.00019092087781007433,0.49243556166770996,16,mobilenet,adamw
8,15.147252810001373,2026-07-15 15:18:36.857571,2026-07-15 15:47:25.050524,0 days 00:28:48.192953,COMPLETE,40,0,wiki224,0.12299425876324271,0.0022367390225402676,0.00012247450169994384,0.3430293606981033,7,vgg16,adam
9,14.392721319198609,2026-07-15 15:47:25.078381,2026-07-15 16:18:15.490395,0 days 00:30:50.412014,COMPLETE,40,3,wiki224,0.2377531266119863,6.452828403140068e-05,0.00027497093271175384,0.1267182172687032,11,vgg16,adam
10,17.88303912313361,2026-07-15 16:18:15.518380,2026-07-15 16:19:56.510119,0 days 00:01:40.991739,PRUNED,24,14,wiki48,0.493368645003106,0.007135921519603096,1.2249665435922713e-05,0.49636936573984763,20,mobilenet,adamw
11,16.35114750910045,2026-07-15 16:19:56.554462,2026-07-15 16:27:23.823391,0 days 00:07:27.268929,PRUNED,8,8,wiki48,0.2990179530169265,0.00022715666981654094,2.521680625945775e-05,0.4310869032930954,15,resnet18,adam
12,13.08137354060034,2026-07-15 16:27:23.871481,2026-07-15 17:11:52.359427,0 days 00:44:28.487946,COMPLETE,8,14,wiki224,0.2947046083466591,0.0003763524939201965,4.853339996961514e-05,0.4871278014679769,5,resnet18,adam
